Code,DerivativesProductCategory,Date,WholeDayOpen,WholeDayHigh,WholeDayLow,WholeDayClose,MorningSessionOpen,MorningSessionHigh,MorningSessionLow,MorningSessionClose,NightSessionOpen,NightSessionHigh,NightSessionLow,NightSessionClose,DaySessionOpen,DaySessionHigh,DaySessionLow,DaySessionClose,Volume,OpenInterest,TurnoverValue,ContractMonth,Volume(OnlyAuction),EmergencyMarginTriggerDivision,LastTradingDay,SpecialQuotationDay,SettlementPrice,CentralContractMonthFlag
167030073,DJIAF,2022-01-04,36318.0,36508.0,36250.0,36482.0,,,,,36318.0,36508.0,36250.0,36250.0,36400.0,36483.0,36343.0,36482.0,1014.0,2012.0,3691500600.0,2022-03,1006.0,002,2022-03-18,2022-03-22,36482.0,1
167030001,JGBLF,2022-01-04,151.61,151.69,151.4,151.43,151.45,151.51,151.41,151.45,151.61,151.69,151.58,151.68,151.43,151.46,151.4,151.43,32100.0,99844.0,4862537100000.0,2022-03,30028.0,002,2022-03-14,,151.43,1
167030022,JN400F,2022-01-04,18015.0,18340.0,17970.0,18310.0,,,,,18015.0,18075.0,17970.0,17970.0,18110.0,18340.0,18095.0,18310.0,10277.0,47924.0,18723600000.0,2022-03,9314.0,002,2022-03-10,2022-03-11,18310.0,1
167030011,MOTF,2022-01-04,977.0,990.0,964.0,965.0,,,,,977.0,984.0,974.0,982.0,986.0,990.0,964.0,965.0,5896.0,27667.0,5746149080.0,2022-03,5461.0,002,2022-03-10,2022-03-11,977.0,1
167030018,NK225F,2022-01-04,28840.0,29300.0,28800.0,29230.0,,,,,28840.0,28940.0,28800.0,28840.0,29040.0,29300.0,28940.0,29230.0,49466.0,191212.0,1440795725840.0,2022-03,40527.0,002,2022-03-10,2022-03-11,29230.0,1
167010019,NK225MF,2022-01-04,28875.0,29320.0,28825.0,29260.0,,,,,28875.0,28960.0,28825.0,28850.0,29050.0,29320.0,28955.0,29260.0,47207.0,61516.0,137478475300.0,2022-01,37968.0,002,2022-01-13,2022-01-14,29260.0,1
167010015,NKVIF,2022-01-04,19.65,19.65,18.65,19.05,,,,,0.0,0.0,0.0,0.0,19.65,19.65,18.65,19.05,218.0,371.0,41592000.0,2022-01,218.0,002,2022-01-07,2022-01-11,19.05,1
168120017,NKYDF,2022-01-04,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7038.0,0.0,2023-12,0.0,002,2024-03-29,2024-04-01,592.0,1
167030069,REITF,2022-01-04,2060.5,2068.0,2042.5,2064.0,,,,,0.0,0.0,0.0,0.0,2060.5,2068.0,2042.5,2064.0,374.0,75740.0,768995500.0,2022-03,371.0,002,2022-03-10,2022-03-11,2062.5,1
167030005,TOPIXF,2022-01-04,1995.0,2031.5,1990.0,2025.0,,,,,1995.0,2001.5,1990.0,1993.0,2006.0,2031.5,2003.5,2025.0,60840.0,424837.0,1227585511440.0,2022-03,57530.0,002,2022-03-10,2022-03-11,2025.0,1
167030006,TOPIXMF,2022-01-04,1995.0,2031.5,1990.25,2026.0,,,,,1995.0,2001.5,1990.25,1994.75,2006.0,2031.5,2003.5,2026.0,29205.0,32416.0,58862401490.0,2022-03,28716.0,002,2022-03-10,2022-03-11,2025.0,1
